index,dna_biosample,sequence_data_type,ampliconlibrary_quantification_ng.ul,plate_ID,well_location,sample_or_blank,sample_spiked_blank,spiked_volume,swab_presence,MK_spike,Sequencer,sample_name.y,animal_biosample,DNA_data_type,sample_type,dna_experiment_date,dna_extraction_success,Basidiobolus_present,Ct_value,copy_number,DNA.QC.ng.ul.fluorometer,DNA.QC.A260.280,qualitative_visualization.1_5.scale,culture_biosample,sample_name,becky_hardman_id,bh_id_prefix,zoo_nashville_id,pit,tank_number,hatch_date,sex,weight,total_length,terbinafine,river.water,diet_crayfish,last_crayfish_feeding,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,svl,animal_type,animal_ecomode,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab
UHM2140_34589,34388,16S_amplicon,37,UHM_Hellbender_P2_CEC,E8,sample,sample,1,1,1,NA,UHM2140,27450,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27450,UHM2140,,,NA,,NA,,,NA,23.5,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/2/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2141_34590,34389,16S_amplicon,59,UHM_Hellbender_P2_CEC,F8,sample,sample,1,1,1,NA,UHM2141,27453,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27453,UHM2141,,,NA,,NA,,,NA,28.7,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/2/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2142_34591,34390,16S_amplicon,68,UHM_Hellbender_P2_CEC,G8,sample,sample,1,1,1,NA,UHM2142,27456,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27456,UHM2142,,,NA,,NA,,,NA,21.2,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/2/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2143_34592,34391,16S_amplicon,57,UHM_Hellbender_P2_CEC,H8,sample,sample,1,1,1,NA,UHM2143,27459,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27459,UHM2143,,,NA,,NA,,,NA,24.4,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/2/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2144_34593,34392,16S_amplicon,40,UHM_Hellbender_P2_CEC,A9,sample,sample,1,1,1,NA,UHM2144,27462,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27462,UHM2144,,,NA,,NA,,,NA,30.3,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/2/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2145_34594,34393,16S_amplicon,66,UHM_Hellbender_P2_CEC,B9,sample,sample,1,1,1,NA,UHM2145,27465,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27465,UHM2145,,,NA,,NA,,,NA,28.8,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/2/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2146_34595,34394,16S_amplicon,60,UHM_Hellbender_P2_CEC,C9,sample,sample,1,1,1,NA,UHM2146,27468,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27468,UHM2146,,,NA,,NA,,,NA,25.7,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/2/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2147_34596,34395,16S_amplicon,67,UHM_Hellbender_P2_CEC,D9,sample,sample,1,1,1,NA,UHM2147,27471,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27471,UHM2147,,,NA,,NA,,,NA,37.2,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/3/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2148_34597,34396,16S_amplicon,52,UHM_Hellbender_P2_CEC,E9,sample,sample,1,1,1,NA,UHM2148,27474,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27474,UHM2148,,,NA,,NA,,,NA,30,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/3/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
UHM2149_34598,34397,16S_amplicon,74,UHM_Hellbender_P2_CEC,F9,sample,sample,1,1,1,NA,UHM2149,27477,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,27477,UHM2149,,,NA,,NA,,,NA,27.5,NA,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/3/2024,TN,polk,Blue Ridge Mountains,NA,Hiwassee River Picnic Area,35.22,-84.52,0,metadata,Chloe Cummins,,
