"otu","Size","kingdom","phylum","class","order","family","genus"
"Otu00001",1836290,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella"
"Otu00002",946149,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophagaceae_unclassified"
"Otu00004",218135,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Weeksellaceae_unclassified"
"Otu00005",182717,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu00006",87686,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium"
"Otu00007",48246,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridiaceae_unclassified"
"Otu00008",41025,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia"
"Otu00009",22321,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1"
"Otu00011",19964,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridiaceae_unclassified"
"Otu00012",18759,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillaceae_unclassified"
"Otu00014",11616,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1"
"Otu00016",11383,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_unclassified"
"Otu00017",10329,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcaceae_unclassified"
"Otu00018",9382,"Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Victivallales_unclassified","Victivallales_unclassified"
"Otu00019",9223,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella"
"Otu00020",9133,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu00021",9129,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Zymophilus"
"Otu00023",8385,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu00025",7301,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridiaceae_unclassified"
"Otu00027",7091,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1"
"Otu00029",6600,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu00030",6573,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter"
"Otu00031",6370,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas"
"Otu00032",6297,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","M2PB4-65_termite_group","M2PB4-65_termite_group_ge"
"Otu00033",6007,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"Otu00034",5684,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group"
"Otu00035",5648,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia"
"Otu00036",5149,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"Otu00037",4340,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu00038",3832,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridiaceae_unclassified"
"Otu00040",3618,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridiaceae_unclassified"
"Otu00041",3523,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unclassified"
